GID_0,NAME,TIAM-Region,TIAM-long,TIAM-all
ABW,Aruba,CSA,Central & South America,Central & South America (CSA)
AFG,Afghanistan,ODA,Other Developing Asia,Other Developing Asia (ODA)
AGO,Angola,AFR,Afrika,Afrika (AFR)
AIA,Anguilla,CSA,Central & South America,Central & South America (CSA)
ALA,Åland,WEU,West European Union,West European Union (WEU)
ALB,Albania,EEU,East European Union,East European Union (EEU)
AND,Andorra,WEU,West European Union,West European Union (WEU)
ARE,United Arab Emirates,MEA,Middle East Asia,Middle East Asia (MEA)
ARG,Argentina,CSA,Central & South America,Central & South America (CSA)
ARM,Armenia,FSU,Former Soviet Union,Former Soviet Union (FSU)
ASM,American Samoa,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
ATF,French Southern Territories,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
ATG,Antigua and Barbuda,CSA,Central & South America,Central & South America (CSA)
AUS,Australia,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
AUT,Austria,WEU,West European Union,West European Union (WEU)
AZE,Azerbaijan,FSU,Former Soviet Union,Former Soviet Union (FSU)
BDI,Burundi,AFR,Afrika,Afrika (AFR)
BEL,Belgium,WEU,West European Union,West European Union (WEU)
BEN,Benin,AFR,Afrika,Afrika (AFR)
BES,"Bonaire, Sint Eustatius and Saba",CSA,Central & South America,Central & South America (CSA)
BFA,Burkina Faso,AFR,Afrika,Afrika (AFR)
BGD,Bangladesh,ODA,Other Developing Asia,Other Developing Asia (ODA)
BGR,Bulgaria,EEU,East European Union,East European Union (EEU)
BHR,Bahrain,MEA,Middle East Asia,Middle East Asia (MEA)
BHS,Bahamas,CSA,Central & South America,Central & South America (CSA)
BIH,Bosnia and Herzegovina,EEU,East European Union,East European Union (EEU)
BLM,Saint Barth�lemy,CSA,Central & South America,Central & South America (CSA)
BLR,Belarus,FSU,Former Soviet Union,Former Soviet Union (FSU)
BLZ,Belize,CSA,Central & South America,Central & South America (CSA)
BMU,Bermuda,CSA,Central & South America,Central & South America (CSA)
BOL,Bolivia,CSA,Central & South America,Central & South America (CSA)
BRA,Brazil,CSA,Central & South America,Central & South America (CSA)
BRB,Barbados,CSA,Central & South America,Central & South America (CSA)
BRN,Brunei,ODA,Other Developing Asia,Other Developing Asia (ODA)
BTN,Bhutan,ODA,Other Developing Asia,Other Developing Asia (ODA)
BVT,Bouvet Island,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
BWA,Botswana,AFR,Afrika,Afrika (AFR)
CAF,Central African Republic,AFR,Afrika,Afrika (AFR)
CAN,Canada,CAN,Canada,Canada (CAN)
CCK,Cocos Islands,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
CHE,Switzerland,WEU,West European Union,West European Union (WEU)
CHL,Chile,CSA,Central & South America,Central & South America (CSA)
CHN,China,CHI,China,China (CHI)
CIV,Cote d'Ivoire,AFR,Afrika,Afrika (AFR)
CMR,Cameroon,AFR,Afrika,Afrika (AFR)
COD,Democratic Republic of the Congo,AFR,Afrika,Afrika (AFR)
COG,Republic of Congo,AFR,Afrika,Afrika (AFR)
COK,Cook Islands,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
COL,Colombia,CSA,Central & South America,Central & South America (CSA)
COM,Comoros,AFR,Afrika,Afrika (AFR)
CPV,Cape Verde,AFR,Afrika,Afrika (AFR)
CRI,Costa Rica,CSA,Central & South America,Central & South America (CSA)
CUB,Cuba,CSA,Central & South America,Central & South America (CSA)
CUW,Curaçao,CSA,Central & South America,Central & South America (CSA)
CXR,Christmas Island,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
CYM,Cayman Islands,CSA,Central & South America,Central & South America (CSA)
CYP,Cyprus,MEA,Middle East Asia,Middle East Asia (MEA)
CZE,Czech Republic,EEU,East European Union,East European Union (EEU)
DEU,Germany,GER,Germany,Germany (GER)
DJI,Djibouti,AFR,Afrika,Afrika (AFR)
DMA,Dominica,CSA,Central & South America,Central & South America (CSA)
DNK,Denmark,WEU,West European Union,West European Union (WEU)
DOM,Dominican Republic,CSA,Central & South America,Central & South America (CSA)
DZA,Algeria,AFR,Afrika,Afrika (AFR)
ECU,Ecuador,CSA,Central & South America,Central & South America (CSA)
EGY,Egypt,AFR,Afrika,Afrika (AFR)
ERI,Eritrea,AFR,Afrika,Afrika (AFR)
ESH,Western Sahara,AFR,Afrika,Afrika (AFR)
ESP,Spain,WEU,West European Union,West European Union (WEU)
EST,Estonia,FSU,Former Soviet Union,Former Soviet Union (FSU)
ETH,Ethiopia,AFR,Afrika,Afrika (AFR)
FIN,Finland,WEU,West European Union,West European Union (WEU)
FJI,Fiji,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
FLK,Falkland Islands,CSA,Central & South America,Central & South America (CSA)
FRA,France,WEU,West European Union,West European Union (WEU)
FRO,Faroe Islands,WEU,West European Union,West European Union (WEU)
FSM,Micronesia,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
GAB,Gabon,AFR,Afrika,Afrika (AFR)
GBR,United Kingdom,WEU,West European Union,West European Union (WEU)
GEO,Georgia,FSU,Former Soviet Union,Former Soviet Union (FSU)
GGY,Guernsey,WEU,West European Union,West European Union (WEU)
GHA,Ghana,AFR,Afrika,Afrika (AFR)
GIB,Gibraltar,WEU,West European Union,West European Union (WEU)
GIN,Guinea,AFR,Afrika,Afrika (AFR)
GLP,Guadeloupe,CSA,Central & South America,Central & South America (CSA)
GMB,Gambia,AFR,Afrika,Afrika (AFR)
GNB,Guinea-Bissau,AFR,Afrika,Afrika (AFR)
GNQ,Equatorial Guinea,AFR,Afrika,Afrika (AFR)
GRC,Greece,WEU,West European Union,West European Union (WEU)
GRD,Grenada,CSA,Central & South America,Central & South America (CSA)
GRL,Greenland,WEU,West European Union,West European Union (WEU)
GTM,Guatemala,CSA,Central & South America,Central & South America (CSA)
GUF,French Guiana,CSA,Central & South America,Central & South America (CSA)
GUM,Guam,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
GUY,Guyana,CSA,Central & South America,Central & South America (CSA)
HKG,Hong Kong,CHI,China,China (CHI)
HMD,Heard Island and McDonald Islands,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
HND,Honduras,CSA,Central & South America,Central & South America (CSA)
HRV,Croatia,EEU,East European Union,East European Union (EEU)
HTI,Haiti,CSA,Central & South America,Central & South America (CSA)
HUN,Hungary,EEU,East European Union,East European Union (EEU)
IDN,Indonesia,ODA,Other Developing Asia,Other Developing Asia (ODA)
IMN,Isle of Man,WEU,West European Union,West European Union (WEU)
IND,India,IND,India,India (IND)
IOT,British Indian Ocean Territory,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
IRL,Ireland,WEU,West European Union,West European Union (WEU)
IRN,Iran,MEA,Middle East Asia,Middle East Asia (MEA)
IRQ,Iraq,MEA,Middle East Asia,Middle East Asia (MEA)
ISL,Iceland,WEU,West European Union,West European Union (WEU)
ISR,Israel,MEA,Middle East Asia,Middle East Asia (MEA)
ITA,Italy,WEU,West European Union,West European Union (WEU)
JAM,Jamaica,CSA,Central & South America,Central & South America (CSA)
JEY,Jersey,WEU,West European Union,West European Union (WEU)
JOR,Jordan,MEA,Middle East Asia,Middle East Asia (MEA)
JPN,Japan,JPN,Japan,Japan (JPN)
KAZ,Kazakhstan,FSU,Former Soviet Union,Former Soviet Union (FSU)
KEN,Kenya,AFR,Afrika,Afrika (AFR)
KGZ,Kyrgyzstan,FSU,Former Soviet Union,Former Soviet Union (FSU)
KHM,Cambodia,ODA,Other Developing Asia,Other Developing Asia (ODA)
KIR,Kiribati,AUS,Australia & New Zealand,Australia & New Zealand (AUS)
KNA,Saint Kitts and Nevis,CSA,Central & South America,Central & South America (CSA)
KOR,South Korea,SKO,South Korea,South Korea (SKO)
KWT,Kuwait,MEA,Middle East Asia,Middle East Asia (MEA)
LAO,Lao PDR,ODA,Other Developing Asia,Other Developing Asia (ODA)
LBN,Lebanon,MEA,Middle East Asia,Middle East Asia (MEA)
LBR,Liberia,AFR,Afrika,Afrika (AFR)
LBY,Libya,AFR,Afrika,Afrika (AFR)
LCA,Saint Lucia,CSA,Central & South America,Central & South America (CSA)
LIE,Liechtenstein,WEU,West European Union,West European Union (WEU)
LKA,Sri Lanka,ODA,Other Developing Asia,Other Developing Asia (ODA)
LSO,Lesotho,AFR,Afrika,Afrika (AFR)
LTU,Lithuania,FSU,Former Soviet Union,Former Soviet Union (FSU)
LUX,Luxembourg,WEU,West European Union,West European Union (WEU)
LVA,Latvia,FSU,Former Soviet Union,Former Soviet Union (FSU)
MAC,Macao,CHI,China,China (CHI)
MAF,Saint Martin,CSA,Central & South America,Central & South America (CSA)
MAR,Morocco,AFR,Afrika,Afrika (AFR)
MCO,Monaco,WEU,West European Union,West European Union (WEU)
MDA,Moldova,FSU,Former Soviet Union,Former Soviet Union (FSU)
MDG,Madagascar,AFR,Afrika,Afrika (AFR)
MDV,Maldives,ODA,Other Developing Asia,Other Developing Asia (ODA)
MEX,Mexico,MEX,Mexico,Mexico (MEX)
